14.03.2022 04:27:00 sql=[select * from hang_hoa where ma = '2'] 
14.03.2022 06:00:20 sql=[select * from hang_hoa where ma = '2'] 
14.03.2022 06:02:58 sql=[select * from hang_hoa where ma = '2'] 
14.03.2022 06:03:06 sql=[select * from hang_hoa where ma = '10'] 
14.03.2022 06:37:20 sql=[select * from hang_hoa where ma = '2'] 
14.03.2022 07:16:15 sql=[select * from hang_hoa where ma = '10'] 
14.03.2022 07:17:27 sql=[select * from hang_hoa where ma = '2'] 
14.03.2022 07:22:09 sql=[select * from hang_hoa where ma = '10'] 
14.03.2022 07:28:03 sql=[select * from hang_hoa where ma = '2'] 
14.03.2022 07:29:16 sql=[select * from hang_hoa where ma = '10'] 
14.03.2022 07:29:17 sql=[select * from hang_hoa where ma = '2'] 
14.03.2022 07:29:27 sql=[select * from hang_hoa where ma = '10'] 
14.03.2022 07:29:28 sql=[select * from hang_hoa where ma = '10'] 
14.03.2022 07:29:31 sql=[select * from hang_hoa where ma = '2'] 
14.03.2022 07:31:08 sql=[select * from hang_hoa where ma = '10'] 
14.03.2022 08:15:41 sql=[select * from hang_hoa where ma = '10'] 
14.03.2022 08:24:49 sql=[select ten_loai_hang from loai_hang] 
14.03.2022 08:25:16 sql=[select ten_loai_hang from loai_hang] 
14.03.2022 08:25:39 sql=[select ten_loai_hang from loai_hang] 
14.03.2022 08:25:51 sql=[select ten_loai_hang from loai_hang] 
14.03.2022 08:25:54 sql=[select ten_loai_hang from loai_hang] 
14.03.2022 08:25:57 sql=[select ten_loai_hang from loai_hang] 
14.03.2022 01:23:41 sql=[select * from hang_hoa ] 
14.03.2022 01:29:21 sql=[select * from hang_hoa ] 
14.03.2022 01:30:11 sql=[select * from hang_hoa ] 
14.03.2022 01:42:33 sql=[select * from hang_hoa ] 
14.03.2022 01:42:43 sql=[select * from hang_hoa ] 
14.03.2022 01:45:06 sql=[select * from hang_hoa ] 
14.03.2022 01:45:22 sql=[select * from hang_hoa ] 
14.03.2022 01:48:57 sql=[select * from hang_hoa ] 
14.03.2022 01:49:08 sql=[select * from hang_hoa ] 
14.03.2022 01:49:09 sql=[select * from hang_hoa ] 
14.03.2022 01:49:09 sql=[select * from hang_hoa ] 
14.03.2022 01:51:01 sql=[select * from hang_hoa ] 
14.03.2022 01:51:24 sql=[select * from hang_hoa ] 
14.03.2022 01:53:04 sql=[select * from hang_hoa ] 
14.03.2022 01:53:08 sql=[select * from hang_hoa ] 
14.03.2022 01:53:09 sql=[select * from hang_hoa ] 
14.03.2022 01:53:13 sql=[select * from hang_hoa ] 
14.03.2022 01:54:39 sql=[select * from hang_hoa ] 
14.03.2022 01:56:22 sql=[select * from hang_hoa ] 
